precursor	mirbase_id	chr	strand	start	end	exp_mature	Cerebellum	Heart	Testis	Brain	Kidney	closest_gene	gene_strand	distance
hsa-mir-148a	MI0000253	chr7	-	25989539	25989606	hsa-miR-148a-5p	0.89	32.59	10.64	1.43	43.73	RNU6-16	-	108910
hsa-mir-514a-1	MI0003198	chrX	-	146360765	146360862	hsa-miR-514a-3p	16.71	5.23	57169.1	3.49	2905.61	CXorf51A	-	464517
hsa-mir-514a-1	MI0003198	chrX	-	146360765	146360862	hsa-miR-514a-3p	16.71	5.23	57169.1	3.49	2905.61	CXorf51B	-	464517
hsa-mir-125a	MI0000469	chr19	+	52196507	52196592	hsa-miR-125a-5p	23799.7	4214.32	1157.88	6208.92	2380.67	LINC00085	+	2
hsa-mir-1265	MI0006401	chr10	+	14478575	14478660	hsa-miR-1265	0	0.71	0	0	0	FAM107B	-	81900
hsa-mir-4424	MI0016763	chr1	+	178646884	178646969	hsa-miR-4424	0	0	0	0	0.54	RALGPS2	+	47332
hsa-mir-3649	MI0016049	chr12	-	1769481	1769546	none	0	0	0	0	0	WNT5B	+	13104
hsa-mir-4790	MI0017437	chr3	-	5291862	5291940	none	0	0	0	0	0	EDEM1	+	30213
hsa-mir-4757	MI0017398	chr2	+	19548190	19548266	hsa-miR-4757-3p	0	0	0.39	0.16	0.18	OSR1	-	2981
hsa-let-7a-3	MI0000062	chr22	+	46508629	46508702	hsa-let-7a-5p	561489	184921	87834.8	187022	81620.8	PPARA	+	37798
hsa-mir-518e	MI0003169	chr19	+	54233092	54233179	hsa-miR-518e-5p	0	0	2.36	0.16	0	NLRP12	-	63677
hsa-mir-196b	MI0001150	chr7	-	27209099	27209182	hsa-miR-196b-5p	0.22	5.71	3.55	0.79	1885.19	HOXA-AS4	+	0
hsa-mir-196b	MI0001150	chr7	-	27209099	27209182	hsa-miR-196b-5p	0.22	5.71	3.55	0.79	1885.19	HOXA10-HOXA9	-	0
hsa-mir-205	MI0000285	chr1	+	209605478	209605587	hsa-miR-205-5p	0.67	0.24	0	0.16	21.95	CAMK1G	+	151459
hsa-mir-668	MI0003761	chr14	+	101521595	101521660	hsa-miR-668-3p	12.92	0	0	21.42	0	MEG9	+	14589
hsa-mir-145	MI0000461	chr5	+	148810209	148810296	hsa-miR-145-5p	31.63	721.58	874.52	89.32	314.32	IL17B	-	-51372
hsa-mir-200b	MI0000342	chr1	+	1102484	1102578	hsa-miR-200b-5p	1.56	2.14	0.79	3.01	161	TTLL10	+	6709
hsa-mir-1299	MI0006359	chr9	-	69002239	69002321	hsa-miR-1299	102.92	60.67	17.73	58.7	0.89	PGM5P2	-	-77924
hsa-mir-3144	MI0014169	chr6	+	120336325	120336403	hsa-miR-3144-3p	0	0	0	0	0.36	LOC285762	-	-523859
hsa-mir-3908	MI0016412	chr12	+	124020956	124021081	none	0	0	0	0	0	RILPL1	-	-2692
hsa-mir-493	MI0003132	chr14	+	101335397	101335485	hsa-miR-493-5p	37.65	27.6	189.96	28.56	27.84	MEG3	+	-8038
hsa-mir-130a	MI0000448	chr11	+	57408671	57408759	hsa-miR-130a-3p	127.43	790.33	1229.6	127.23	1017.74	YPEL4	-	3802
hsa-mir-5692a-1	MI0019297	chr7	+	97592970	97593038	none	0	0	0	0	0	MGC72080	-	2871
hsa-mir-892b	MI0005538	chrX	-	145078716	145078792	hsa-miR-892b	1.34	0	0	0.16	0.18	CXorf1	+	167347
hsa-mir-6770-2	MI0026418	chr16	+	16423162	16423221	hsa-miR-6770-5p	0	0	0.39	0	0	PKD1P1	+	0
hsa-mir-6089-1	MI0020366	chrX	+	2527232	2527295	none	0	0	0	0	0	CD99P1	+	12
hsa-mir-523	MI0003153	chr19	+	54201639	54201725	hsa-miR-523-3p	0	0	1.18	0	0	DPRX	+	-61377
hsa-mir-3180-2	MI0014215	chr16	+	16403736	16403823	hsa-miR-3180-3p	12.92	0.24	2.76	5.08	0	PKD1P1	+	7644
hsa-mir-450b	MI0005531	chrX	-	133674215	133674292	none	0	0	0	0	0	MGC16121	-	-3116
hsa-mir-412	MI0002464	chr14	+	101531784	101531874	hsa-miR-412-5p	1.56	0	1.18	10.79	1.07	MEG9	+	4375
hsa-mir-3169	MI0014200	chr13	-	61773932	61774014	none	0	0	0	0	0	PCDH20	-	-209806
hsa-mir-550a-2	MI0003601	chr7	+	32772593	32772689	hsa-miR-550a-5p	2	3.81	3.94	1.75	0.89	ZNRF2P1	+	-2999
hsa-mir-212	MI0000288	chr17	-	1953565	1953674	hsa-miR-212-5p	14.7	5	1.18	32.05	1.96	HIC1	+	-4720
hsa-mir-1205	MI0006338	chr8	+	128972879	128972941	none	0	0	0	0	0	PVT1	+	0
hsa-mir-1207	MI0006340	chr8	+	129061398	129061484	none	0	0	0	0	0	PVT1	+	0
hsa-mir-7158	MI0023618	chr2	+	6114794	6114864	hsa-miR-7158-3p	1.78	0.24	0	13.64	0	LOC150622	+	0
hsa-mir-3977	MI0016995	chr5	+	82135974	82136043	none	0	0	0	0	0	TMEM167A	-	212623
hsa-mir-4435-2	MI0016777	chr2	-	112078590	112078663	hsa-miR-4435	0	0.24	0	0.16	0.18	LOC541471	-	-45929
hsa-mir-376b	MI0002466	chr14	+	101506773	101506872	none	0	0	0	0	0	MEG9	+	29377
hsa-mir-323a	MI0000807	chr14	+	101492069	101492154	hsa-miR-323a-5p	36.76	0	0	32.21	0	SNORD114-31	+	-32424
hsa-mir-5583-2	MI0019140	chr18	-	37256683	37256741	none	0	0	0	0	0	LINC00669	-	0
hsa-mir-521-1	MI0003176	chr19	+	54251890	54251976	hsa-miR-521	0	0	0.79	0.16	0	NLRP12	-	44880
hsa-mir-5702	MI0019309	chr2	-	227523426	227523509	none	0	0	0	0	0	IRS1	-	-72525
hsa-mir-21	MI0000077	chr17	+	57918627	57918698	hsa-miR-21-3p	0.89	1.67	5.12	1.43	3.75	VMP1	+	-676
hsa-mir-2113	MI0003939	chr6	+	98472407	98472497	hsa-miR-2113	0.67	0	0	3.97	0	MMS22L	-	-741356
hsa-mir-129-2	MI0000473	chr11	+	43602944	43603033	hsa-miR-129-5p	3481.53	5.95	109.17	4718.13	70.68	TTC17	+	-86462
hsa-mir-1471	MI0007076	chr2	-	232756952	232757008	none	0	0	0	0	0	NPPC	-	-29798
hsa-mir-142	MI0000458	chr17	-	56408593	56408679	hsa-miR-142-5p	0	15.46	68.97	0.16	21.6	BZRAP1-AS1	+	0
hsa-mir-3975	MI0016993	chr18	+	33171701	33171770	none	0	0	0	0	0	GALNT1	+	62764
hsa-mir-506	MI0003193	chrX	-	146312238	146312361	hsa-miR-506-3p	2.67	1.19	3551.27	1.59	137.61	CXorf51A	-	415990
hsa-mir-506	MI0003193	chrX	-	146312238	146312361	hsa-miR-506-3p	2.67	1.19	3551.27	1.59	137.61	CXorf51B	-	415990
hsa-mir-450a-2	MI0003187	chrX	-	133674538	133674637	hsa-miR-450a-2-3p	0	0	0	0.16	0.36	MGC16121	-	-2771
hsa-mir-649	MI0003664	chr22	-	21388465	21388561	none	0	0	0	0	0	SLC7A4	-	1619
hsa-mir-30a	MI0000088	chr6	-	72113254	72113324	hsa-miR-30a-5p	9762	49603.8	4033.66	13909	466662	LINC00472	-	-10826
hsa-mir-381	MI0000789	chr14	+	101512257	101512331	hsa-miR-381-3p	905.36	205.08	413.42	351.56	97.1	MEG9	+	23918
hsa-mir-181d	MI0003139	chr19	+	13985689	13985825	hsa-miR-181d-5p	577.66	175.1	44.93	638.87	117.62	NANOS3	+	2239
hsa-mir-1289-1	MI0006350	chr20	-	34041776	34041919	none	0	0	0	0	0	CEP250	+	-1305
hsa-mir-505	MI0003190	chrX	-	139006307	139006390	hsa-miR-505-5p	8.02	2.14	1.97	13.33	1.07	CXorf66	-	-31495
hsa-mir-5680	MI0019280	chr8	+	103137660	103137743	hsa-miR-5680	0	0.24	0	1.11	0	NCALD	-	-526
hsa-mir-22	MI0000078	chr17	-	1617197	1617281	hsa-miR-22-5p	2.9	39.25	114.29	5.55	16.06	WDR81	+	-2537
hsa-mir-138-1	MI0000476	chr3	+	44155704	44155802	hsa-miR-138-5p	373.59	13.8	18.52	1575.99	307	TOPAZ1	+	127577
hsa-mir-3613	MI0016003	chr13	-	50570551	50570637	hsa-miR-3613-5p	0	5	13.79	3.01	3.57	DLEU2	-	0
hsa-mir-4283-1	MI0015892	chr7	-	57023492	57023571	none	0	0	0	0	0	LOC100130849	-	73654
hsa-mir-514a-2	MI0003199	chrX	-	146363461	146363548	hsa-miR-514a-3p	16.71	5.23	57169.1	3.49	2905.61	CXorf51A	-	467213
hsa-mir-514a-2	MI0003199	chrX	-	146363461	146363548	hsa-miR-514a-3p	16.71	5.23	57169.1	3.49	2905.61	CXorf51B	-	467213
hsa-mir-8061	MI0025897	chr19	+	55156760	55156834	none	0	0	0	0	0	LILRB1	+	-7757
hsa-mir-4520a	MI0016886	chr17	-	6558759	6558828	hsa-miR-4520a-5p	0	0	0	0.16	0	C17orf100	+	2143
hsa-mir-1538	MI0007259	chr16	-	69599711	69599771	none	0	0	0	0	0	NFAT5	+	-99
hsa-mir-513b	MI0006648	chrX	-	146280562	146280645	hsa-miR-513b-5p	0	0	72.12	0	0	CXorf51A	-	384314
hsa-mir-513b	MI0006648	chrX	-	146280562	146280645	hsa-miR-513b-5p	0	0	72.12	0	0	CXorf51B	-	384314
hsa-mir-512-1	MI0003140	chr19	+	54169933	54170016	hsa-miR-512-3p	0	1.19	38.23	0	0	DPRX	+	-29671
hsa-mir-365b	MI0000769	chr17	+	29902430	29902540	hsa-miR-365b-5p	4.01	6.66	1.18	5.71	2.32	RAB11FIP4	+	-37199
hsa-mir-377	MI0000785	chr14	+	101528387	101528455	hsa-miR-377-5p	15.15	1.19	2.36	7.77	0.36	MEG9	+	7794
hsa-mir-187	MI0000274	chr18	-	33484781	33484889	none	0	0	0	0	0	C18orf21	+	-67700
hsa-mir-516a-1	MI0003180	chr19	+	54259995	54260084	hsa-miR-516a-5p	0	0.24	8.67	0.48	0	NLRP12	-	36772
hsa-mir-3150b	MI0016426	chr8	-	96085139	96085224	hsa-miR-3150b-3p	0	0	0.39	0.16	0.36	NDUFAF6	+	14196
hsa-mir-4660	MI0017288	chr8	+	8905955	8906028	hsa-miR-4660	0.89	0	0	1.43	0.36	ERI1	+	-15107
hsa-mir-4457	MI0016803	chr5	-	1309425	1309492	none	0	0	0	0	0	CLPTM1L	-	-8509
hsa-mir-372	MI0000780	chr19	+	54291144	54291210	hsa-miR-372-3p	0	1.67	25.62	0	0.54	NLRP12	-	5646
hsa-mir-622	MI0003636	chr13	+	90883436	90883531	none	0	0	0	0	0	LINC00559	-	-111466
hsa-mir-374a	MI0000782	chrX	-	73507121	73507192	hsa-miR-374a-5p	0.67	59.48	87.89	7.93	40.34	FTX	-	0
hsa-mir-378f	MI0016756	chr1	+	24255560	24255637	hsa-miR-378f	0.22	10.47	0	0	3.57	CNR2	-	-15744
hsa-mir-222	MI0000299	chrX	-	45606421	45606530	hsa-miR-222-3p	14.93	125.38	17.73	70.44	51.05	CXorf36	-	546276
hsa-mir-1305	MI0006372	chr4	+	183090446	183090531	hsa-miR-1305	0	0.95	0	0.32	0	MGC45800	-	-24779
hsa-mir-3124	MI0014140	chr1	+	249120576	249120642	hsa-miR-3124-5p	0	0.48	0	1.59	0	SH3BP5L	-	-423
hsa-mir-4278	MI0015888	chr5	-	6827966	6828034	none	0	0	0	0	0	PAPD7	+	70806
hsa-mir-29b-2	MI0000107	chr1	-	207975788	207975868	hsa-miR-29b-3p	3.79	113.96	256.56	128.5	255.24	CD46	+	6928
hsa-mir-124-3	MI0000445	chr20	+	61809852	61809938	hsa-miR-124-3p	9006.79	4.76	6.7	5731.24	8.57	YTHDF1	-	16845
hsa-mir-3685	MI0016086	chr12	+	95703699	95703760	hsa-miR-3685	0.22	0	0	0	0.18	VEZT	+	-7134
hsa-mir-519e	MI0003145	chr19	+	54183194	54183277	hsa-miR-519e-5p	0	0	0.79	0	0	DPRX	+	-42932
hsa-mir-216a	MI0000292	chr2	-	56216085	56216194	hsa-miR-216a-3p	0	0	0	0.16	0.18	EFEMP1	-	64788
hsa-mir-3677	MI0016078	chr16	+	2320714	2320773	hsa-miR-3677-3p	0.22	0.24	0.79	0.16	0.36	RNPS1	-	-2302
hsa-mir-146a	MI0000477	chr5	+	159912359	159912457	hsa-miR-146a-3p	0	0.48	0	0	0.54	PTTG1	+	-56614
hsa-mir-548x-2	MI0016833	chr13	-	66540462	66540561	none	0	0	0	0	0	PCDH9	-	-336406
hsa-mir-548i-2	MI0006422	chr4	-	9557789	9557937	none	0	0	0	0	0	DEFB131	+	105550
hsa-mir-6074	MI0020351	chr12	-	66417400	66417506	none	0	0	0	0	0	HMGA2	+	57330
hsa-mir-4490	MI0016852	chr11	-	90288942	90289025	hsa-miR-4490	0	0.71	0	0	0	CHORDC1	-	332411
hsa-mir-1324	MI0006657	chr3	+	75679914	75680009	none	0	0	0	0	0	FLJ20518	+	33473
hsa-mir-520b	MI0003155	chr19	+	54204481	54204541	hsa-miR-520b	0	0	24.04	0	0	DPRX	+	-64219
hsa-mir-1261	MI0006396	chr11	-	90602289	90602370	none	0	0	0	0	0	CHORDC1	-	645758
hsa-mir-4502	MI0016865	chr13	+	115039303	115039383	none	0	0	0	0	0	CDC16	+	-1154
hsa-mir-3670-2	MI0019112	chr16	+	16400227	16400291	none	0	0	0	0	0	PKD1P1	+	11176
hsa-mir-29c	MI0000735	chr1	-	207975197	207975284	hsa-miR-29c-5p	7.8	13.08	7.09	9.52	9.28	CD46	+	6337
hsa-mir-548i-3	MI0006423	chr8	-	7946463	7946611	none	0	0	0	0	0	FAM66E	+	80187
hsa-mir-3689f	MI0016837	chr9	-	137742588	137742653	none	0	0	0	0	0	COL5A1	+	5901
hsa-mir-3157	MI0014185	chr10	-	97824072	97824156	hsa-miR-3157-3p	0	0	0	0.32	0.18	LOC728558	-	0
hsa-mir-410	MI0002465	chr14	+	101532249	101532328	hsa-miR-410-3p	77.08	5.23	26.8	132.47	2.68	MEG9	+	3921
hsa-mir-221	MI0000298	chrX	-	45605585	45605694	hsa-miR-221-3p	14.26	223.63	12.22	231.94	69.25	CXorf36	-	545440
hsa-mir-940	MI0005762	chr16	+	2321748	2321841	hsa-miR-940	45.22	0.71	1.97	29.98	0.36	RNPS1	-	-3336
hsa-mir-508	MI0003195	chrX	-	146318431	146318545	hsa-miR-508-3p	12.03	5	21754.2	11.11	1114.48	CXorf51A	-	422183
hsa-mir-508	MI0003195	chrX	-	146318431	146318545	hsa-miR-508-3p	12.03	5	21754.2	11.11	1114.48	CXorf51B	-	422183
hsa-mir-323b	MI0014206	chr14	+	101522556	101522637	hsa-miR-323b-3p	11.14	0	2.76	14.91	0	MEG9	+	13612
hsa-mir-3945	MI0016602	chr4	-	185772167	185772264	none	0	0	0	0	0	LOC731424	-	3968
hsa-mir-4739	MI0017377	chr17	-	77680985	77681058	none	0	0	0	0	0	ENPP7	+	-23825
hsa-mir-5100	MI0019116	chr10	+	43493011	43493129	none	0	0	0	0	0	RET	+	79389
hsa-mir-3118-2	MI0014132	chr1	+	143163750	143163822	none	0	0	0	0	0	ANKRD20A12P	-	-450146
hsa-mir-4286	MI0015894	chr8	+	10524488	10524580	hsa-miR-4286	0.22	0.24	0.39	0.48	0.71	C8orf74	+	5568
hsa-mir-6134	MI0021279	chrX	-	28513672	28513780	none	0	0	0	0	0	IL1RAPL1	+	-91902
hsa-mir-3141	MI0014165	chr5	-	153975572	153975632	none	0	0	0	0	0	LARP1	+	-116831
hsa-mir-1202	MI0006334	chr6	+	156267931	156268013	none	0	0	0	0	0	NOX3	-	-490895
hsa-mir-1973	MI0009983	chr4	+	117220881	117220924	hsa-miR-1973	0	0	0.39	0	0	TRAM1L1	-	783787
hsa-mir-4536-1	MI0016906	chrX	-	55477928	55478015	hsa-miR-4536-3p	0	0.24	0	0	0	MAGEH1	+	-524
hsa-mir-509-1	MI0003196	chrX	-	146342050	146342143	hsa-miR-509-5p	0	0	122.57	0	0.71	CXorf51A	-	445802
hsa-mir-509-1	MI0003196	chrX	-	146342050	146342143	hsa-miR-509-5p	0	0	122.57	0	0.71	CXorf51B	-	445802
hsa-mir-4293	MI0015826	chr10	-	14425199	14425276	none	0	0	0	0	0	FRMD4A	-	52334
hsa-mir-31	MI0000089	chr9	-	21512114	21512184	hsa-miR-31-3p	0	0	0.79	0	0.18	IFNE	-	29803
hsa-mir-24-2	MI0000081	chr19	-	13947101	13947173	hsa-miR-24-2-5p	0.67	71.13	6.31	2.54	6.96	LOC284454	-	0
hsa-mir-141	MI0000457	chr12	+	7073260	7073354	hsa-miR-141-5p	0	0	0	0	20.88	PHB2	-	1162
hsa-mir-670	MI0003933	chr11	+	43581206	43581303	hsa-miR-670-5p	0.67	0	0.79	0	0	TTC17	+	-64724
hsa-mir-17	MI0000071	chr13	+	92002859	92002942	hsa-miR-17-3p	3.79	24.03	74.49	16.02	100.13	GPC5	+	47994
hsa-mir-3674	MI0016075	chr8	+	1749291	1749358	none	0	0	0	0	0	CLN8	+	-14556
hsa-mir-3974	MI0016992	chr12	+	17826233	17826328	none	0	0	0	0	0	RERGL	-	407476
hsa-mir-1251	MI0006386	chr12	+	97885687	97885756	hsa-miR-1251-3p	0.45	0	0	0.16	0	RMST	+	0
hsa-mir-1199	MI0020340	chr19	+	14184173	14184291	none	0	0	0	0	0	LOC113230	+	0
hsa-mir-518d	MI0003171	chr19	+	54238131	54238217	hsa-miR-518d-5p	0	0	0.39	0	0	NLRP12	-	58639
hsa-mir-3118-1	MI0014131	chr1	+	142667289	142667363	none	0	0	0	0	0	ANKRD20A12P	-	30059
hsa-mir-4686	MI0017318	chr11	+	2194293	2194368	none	0	0	0	0	0	TH	-	-1259
hsa-mir-5091	MI0017980	chr4	+	13629489	13629581	hsa-miR-5091	0	0	0	0	0.36	BOD1L1	-	-162
hsa-mir-3180-3	MI0014217	chr16	-	18496035	18496128	hsa-miR-3180-5p	0	0	0	0.63	0	NOMO2	-	-15055
hsa-mir-487b	MI0003530	chr14	+	101512792	101512875	hsa-miR-487b-3p	118.52	4.28	20.89	61.55	0.89	MEG9	+	23374
hsa-mir-365a	MI0000767	chr16	+	14403142	14403228	hsa-miR-365a-3p	6.46	76.37	45.32	24.43	23.02	MKL2	+	-42513
hsa-mir-1247	MI0006382	chr14	-	102026624	102026759	hsa-miR-1247-5p	0.22	1.9	10.64	6.5	1.07	DIO3	+	-930
hsa-mir-8069	MI0025905	chr21	+	15096510	15096595	none	0	0	0	0	0	POTED	+	-82605
hsa-mir-769	MI0003834	chr19	+	46522190	46522307	hsa-miR-769-3p	76.41	0.24	1.97	36.49	1.96	PGLYRP1	-	106
hsa-mir-6770-1	MI0022615	chr16	+	15024677	15024736	hsa-miR-6770-3p	0.22	0	0	0.16	0	NPIP	+	6565
hsa-mir-542	MI0003686	chrX	-	133675371	133675467	hsa-miR-542-5p	0.45	2.14	32.71	1.9	13.57	MGC16121	-	-1941
hsa-mir-411	MI0003675	chr14	+	101489662	101489757	hsa-miR-411-5p	83.1	154.64	1153.15	208.62	84.6	SNORD114-31	+	-30017
hsa-mir-373	MI0000781	chr19	+	54291959	54292027	hsa-miR-373-5p	0	0	0.39	0	0	NLRP12	-	4829
hsa-mir-548az	MI0022212	chr8	+	120337411	120337505	hsa-miR-548az-5p	0.22	0	0	0	0.36	MAL2	+	-79498
hsa-mir-382	MI0000790	chr14	+	101520643	101520718	hsa-miR-382-3p	8.02	3.33	14.98	13.64	1.78	MEG9	+	15531
hsa-mir-3913-2	MI0016418	chr12	+	69978503	69978602	hsa-miR-3913-3p	0	0	0.39	0.32	0	CCT2	+	607
hsa-mir-522	MI0003177	chr19	+	54254465	54254551	hsa-miR-522-5p	0	0	2.36	0.16	0	NLRP12	-	42305
hsa-mir-3687	MI0016088	chr21	+	9826203	9826263	hsa-miR-3687	2.45	0	1.18	4.28	0	TEKT4P2	-	80927
hsa-mir-6077-2	MI0023562	chr1	+	147860434	147860515	none	0	0	0	0	0	FLJ39739	-	45508
hsa-mir-138-2	MI0000455	chr16	+	56892430	56892513	hsa-miR-138-2-3p	2.9	0.24	0	12.22	0.89	SLC12A3	+	6607
hsa-mir-519d	MI0003162	chr19	+	54216601	54216688	hsa-miR-519d-5p	0	0	1.58	0	0	DPRX	+	-76339
hsa-mir-6511a-1	MI0022223	chr16	+	15019794	15019860	hsa-miR-6511a-5p	0.22	0	0.39	0.32	0	NPIP	+	11441
hsa-mir-374b	MI0005566	chrX	-	73438382	73438453	hsa-miR-374b-3p	1.11	9.52	6.7	3.65	3.39	FTX	-	0
hsa-mir-4801	MI0017449	chr4	-	37243532	37243613	none	0	0	0	0	0	KIAA1239	+	-3078
hsa-mir-675	MI0005416	chr11	-	2017989	2018061	hsa-miR-675-5p	0	0	0.79	0	0.36	H19	-	0
hsa-mir-548ap	MI0017875	chr15	+	86368866	86368961	none	0	0	0	0	0	KLHL25	-	-30678
hsa-mir-134	MI0000474	chr14	+	101521024	101521096	hsa-miR-134-5p	1343.11	56.38	487.11	1905.5	60.15	MEG9	+	15153
hsa-mir-4539	MI0016910	chr14	-	106323682	106323741	none	0	0	0	0	0	KIAA0125	+	-60098
hsa-mir-4423	MI0016760	chr1	+	85599477	85599556	hsa-miR-4423-5p	0.45	0	0.39	0	0.18	WDR63	+	-657
hsa-mir-34b	MI0000742	chr11	+	111383663	111383746	hsa-miR-34b-5p	0	0	9.46	0.16	0	BTG4	-	-585
hsa-mir-4778	MI0017422	chr2	-	66585381	66585460	none	0	0	0	0	0	MEIS1-AS3	-	-65016
hsa-mir-5700	MI0019307	chr12	+	94955565	94955635	none	0	0	0	0	0	TMCC3	-	5266
hsa-mir-3672	MI0016073	chrX	+	120504826	120504907	none	0	0	0	0	0	GLUD2	+	-321031
hsa-mir-4795	MI0017442	chr3	-	87275339	87275427	none	0	0	0	0	0	CHMP2B	+	-987
hsa-mir-122	MI0000442	chr18	+	56118306	56118390	hsa-miR-122-5p	3.79	20.22	134.78	5.55	2.32	ALPK2	-	30093
hsa-mir-3688-2	MI0017447	chr4	+	160049957	160050043	hsa-miR-3688-3p	0.89	1.43	0.39	0.32	1.07	C4orf45	-	-93625
hsa-mir-6082	MI0020359	chr4	+	172107335	172107443	none	0	0	0	0	0	LOC100506122	+	-127025
hsa-mir-548ae-1	MI0016779	chr2	+	185243702	185243771	none	0	0	0	0	0	ZNF804A	+	219323
hsa-mir-1297	MI0006358	chr13	-	54886107	54886183	none	0	0	0	0	0	LINC00558	+	435854
hsa-mir-8081	MI0025917	chr9	+	109363209	109363303	none	0	0	0	0	0	ZNF462	+	262076
hsa-mir-4536-1	MI0016906	chrX	-	55477928	55478015	hsa-miR-4536-3p	0	0.24	0	0	0	MAGEH1	+	-524
hsa-mir-4674	MI0017305	chr9	-	139440625	139440711	none	0	0	0	0	0	NOTCH1	-	388
hsa-mir-193b	MI0003137	chr16	+	14397824	14397906	hsa-miR-193b-5p	6.91	23.08	13.79	23.64	4.28	MKL2	+	-37195
hsa-mir-3675	MI0016076	chr1	-	17185444	17185516	hsa-miR-3675-5p	0.89	0	0	0	0	CROCC	+	-62930
hsa-mir-135a-2	MI0000453	chr12	+	97957590	97957689	hsa-miR-135a-5p	4.01	62.09	40.59	59.81	514.94	RMST	+	-30047
hsa-mir-1302-7	MI0006368	chr8	-	142867603	142867674	none	0	0	0	0	0	FLJ43860	-	350274
hsa-mir-612	MI0003625	chr11	+	65211929	65212028	none	0	0	0	0	0	NEAT1	+	-17927
hsa-mir-19b-2	MI0000075	chrX	-	133303701	133303796	none	0	0	0	0	0	CCDC160	+	-67282
hsa-mir-654	MI0003676	chr14	+	101506556	101506636	hsa-miR-654-3p	132.33	32.36	110.35	32.68	9.64	MEG9	+	29613
hsa-mir-4452	MI0016798	chr4	-	87463635	87463705	none	0	0	0	0	0	PTPN13	+	-51764
hsa-mir-5583-1	MI0019139	chr18	+	37256685	37256743	none	0	0	0	0	0	LINC00669	-	0
hsa-mir-8059	MI0025895	chr17	+	48846011	48846091	none	0	0	0	0	0	LINC00483	-	-1136
hsa-mir-329-1	MI0001725	chr14	+	101493122	101493201	hsa-miR-329-5p	40.99	0	0.39	37.92	0.18	SNORD114-31	+	-33477
hsa-mir-7154	MI0023614	chr11	-	45713254	45713326	hsa-miR-7154-5p	0	0	1.58	0	0	CHST1	-	26049
