precursor	mirbase_id	chr	strand	start	end	type	intron_exon_pos	orientation_to_host	distance_upstream_exon	exp_mature	host_symbol	host_start	host_end	host_strand	Cerebellum	Heart	Testis	Brain	Kidney
hsa-mir-301a	MI0000745	chr17	-	57228497	57228582	intronic	1	sense	3910	hsa-miR-301a-3p	SKA2	57187308	57232800	-	0	4.52	14.58	1.43	6.96
hsa-mir-6716	MI0022550	chr11	+	118514718	118514797	exonic	15	sense	0	hsa-miR-6716-3p	PHLDB1	118477213	118528748	+	7.13	2.62	0	9.36	0.54
hsa-mir-6853	MI0022699	chr9	+	35732919	35732992	intronic	1	sense	21	hsa-miR-6853-3p	CREB3	35732317	35737005	+	2.23	0	0	1.75	0.18
hsa-mir-3615	MI0016005	chr17	+	72744752	72744838	exonic	1	sense	0	hsa-miR-3615	SLC9A3R1	72744751	72765499	+	68.39	14.27	0.79	59.02	9.64
hsa-mir-4646	MI0017273	chr6	-	31668806	31668868	intronic	3	sense	183	hsa-miR-4646-5p	ABHD16A	3164345	3180755	-	0.22	0	0.39	0	0
hsa-mir-3914-2	MI0016421	chr7	+	70772660	70772754	intronic	1	sense	174634	hsa-miR-3914	WBSCR17	70597789	71178584	+	0	0.24	0	0.16	0
hsa-mir-5585	MI0019142	chr1	+	32552550	32552608	intronic	5	sense	9631	none	TMEM39B	32538503	32568467	+	0	0	0	0	0
hsa-mir-6069	MI0020346	chr22	-	35732714	35732792	intronic	10	antisense	2273	none	TOM1	35695268	35743987	+	0	0	0	0	0
hsa-mir-4743	MI0017381	chr18	+	46196971	46197039	intronic	5	sense	6049	hsa-miR-4743-3p	CTIF	46065427	46389586	+	0	0	0	0.16	0
hsa-mir-6834	MI0022679	chr6	+	33258022	33258102	intronic	3	sense	1	hsa-miR-6834-5p	PFDN6	33257374	33258711	+	0.22	0	0	0.32	0.18
hsa-mir-1343	MI0017320	chr11	+	34963384	34963467	intronic	2	sense	10353	hsa-miR-1343-5p	PDHX	34937677	35017675	+	0.45	0	0.39	0	0
hsa-mir-4804	MI0017452	chr5	+	72174418	72174490	intronic	9	sense	1245	none	TNPO1	72112418	72210215	+	0	0	0	0	0
hsa-mir-639	MI0003654	chr19	+	14640355	14640452	exonic	1	sense	0	none	TECR	14640379	14676792	+	0	0	0	0	0
hsa-mir-6780b	MI0022681	chr6	+	43402280	43402358	intronic	3	sense	1182	none	ABCC10	43395292	43418163	+	0	0	0	0	0
hsa-mir-133a-2	MI0000451	chr20	+	61162119	61162220	exonic	3	sense	0	hsa-miR-133a-3p	C20orf166	61147660	61167971	+	2.45	2055.53	11.03	6.82	4.46
hsa-mir-6751	MI0022596	chr11	-	64897388	64897450	intronic	13	sense	24	none	SYVN1	64894751	64902003	-	0	0	0	0	0
hsa-mir-4639	MI0017266	chr6	+	16141787	16141855	intronic	2	sense	10809	hsa-miR-4639-5p	MYLIP	16129317	16148478	+	0.22	0	0	0	0
hsa-mir-3119-1	MI0014134	chr1	-	170120519	170120603	intronic	1	antisense	5117	none	METTL11B	170115188	170136923	+	0	0	0	0	0
hsa-mir-1237	MI0006327	chr11	+	64136074	64136175	intronic	11	sense	1	hsa-miR-1237-3p	RPS6KA4	64126625	64139687	+	0.22	0	0	0	0
hsa-mir-4774	MI0017417	chr2	+	169439453	169439528	intronic	3	sense	21621	hsa-miR-4774-5p	CERS6	169312759	169631644	+	0.22	0.48	0.39	0	0
hsa-mir-4322	MI0015851	chr19	+	10341089	10341161	intronic	1	antisense	719	none	S1PR2	10332109	10341948	-	0	0	0	0	0
hsa-mir-3610	MI0016000	chr8	-	117886967	117887039	exonic	1	sense	0	hsa-miR-3610	RAD21	117858173	117887105	-	0	0.24	0	0	0
hsa-mir-933	MI0005755	chr2	-	176032361	176032437	intronic	1	sense	341	none	ATF2	175936978	176032934	-	0	0	0	0	0
hsa-mir-6071	MI0020348	chr2	-	86010723	86010800	intronic	2	antisense	19418	none	ATOH8	85980909	86018506	+	0	0	0	0	0
hsa-mir-2110	MI0010629	chr10	-	115933864	115933938	exonic	1	sense	0	hsa-miR-2110	C10orf118	115881974	115934364	-	18.49	1.19	1.97	6.19	2.14
hsa-mir-3116-2	MI0014129	chr1	-	62544461	62544528	intronic	31	antisense	27731	hsa-miR-3116	INADL	62208149	62629591	+	0.67	1.19	0	0.16	0.71
hsa-mir-6873	MI0022720	chr6	-	33255004	33255066	intronic	8	sense	66	hsa-miR-6873-3p	WDR46	4528202	4538630	-	0.45	0.24	0	0.16	0
hsa-mir-1227	MI0006316	chr19	-	2234061	2234148	intronic	4	sense	1	hsa-miR-1227-3p	PLEKHJ1	2233155	2236328	-	0	0	0	0.32	0
hsa-mir-3922	MI0016429	chr12	+	104985411	104985494	intronic	1	sense	134104	none	CHST11	104850692	105155792	+	0	0	0	0	0
hsa-mir-1267	MI0006404	chr13	-	108183519	108183596	intronic	1	sense	334434	hsa-miR-1267	FAM155A	107820879	108519460	-	0	0	0.79	0	0
hsa-mir-3917	MI0016423	chr1	-	26232853	26232945	exonic	1	sense	0	hsa-miR-3917	STMN1	26210677	26233368	-	1.78	0	0	0.63	0.18
hsa-mir-3123	MI0014139	chr1	+	241295572	241295646	intronic	2	antisense	223353	none	RGS7	240938817	241520478	-	0	0	0	0	0
hsa-mir-1182	MI0006275	chr1	-	231155574	231155670	exonic	2	sense	0	none	FAM89A	231154704	231175995	-	0	0	0	0	0
hsa-mir-550a-1	MI0003600	chr7	+	30329410	30329506	intronic	1	sense	3968	hsa-miR-550a-5p	ZNRF2	30323923	30407308	+	2	3.81	3.94	1.75	0.89
hsa-mir-7111	MI0022962	chr6	+	35438285	35438356	intronic	5	sense	157	none	RPL10A	35436178	35438558	+	0	0	0	0	0
hsa-mir-135a-1	MI0000452	chr3	-	52328235	52328324	exonic	5	antisense	0	hsa-miR-135a-5p	GLYCTK	52321836	52329272	+	4.01	62.09	40.59	59.81	514.94
hsa-mir-6782	MI0022627	chr17	-	42285139	42285207	intronic	17	sense	25	hsa-miR-6782-5p	UBTF	42282401	42298994	-	0.22	0	0	0	0
hsa-mir-5590	MI0019150	chr2	+	135615390	135615443	intronic	2	sense	12543	hsa-miR-5590-5p	ACMSD	135596186	135659602	+	0	0	0	0	0.18
hsa-mir-597	MI0003609	chr8	+	9599182	9599278	intronic	17	sense	6186	hsa-miR-597-3p	TNKS	9413445	9639856	+	1.34	0	0	1.27	0.36
hsa-mir-1238	MI0006328	chr19	+	10662798	10662880	intronic	8	sense	1	hsa-miR-1238-3p	ATG4D	10654647	10664094	+	0	0	0	0.16	0
hsa-mir-4789	MI0017436	chr3	+	175087329	175087410	intronic	5	sense	45215	none	NAALADL2	174577111	175523428	+	0	0	0	0	0
hsa-mir-1286	MI0006348	chr22	-	20236657	20236734	intronic	1	sense	18860	hsa-miR-1286	RTN4R	20228938	20255816	-	0.22	0	0	0.32	0
hsa-mir-24-1	MI0000080	chr9	+	97848303	97848370	intronic	14	sense	3302	hsa-miR-24-3p	C9orf3	97488951	97849500	+	6863.03	19465	4620.48	8814.05	9181.06
hsa-mir-5588	MI0019147	chr3	-	184970998	184971060	intronic	1	sense	554	hsa-miR-5588-5p	EHHADH	184908412	184971886	-	0.45	0.95	0	0.63	7.5
hsa-mir-488	MI0003123	chr1	-	176998499	176998581	intronic	5	sense	189	hsa-miR-488-5p	ASTN1	176830203	177134024	-	0.89	0	0	0.48	0
hsa-mir-877	MI0005561	chr6	+	30552109	30552194	intronic	13	sense	1	hsa-miR-877-3p	ABCF1	1832076	1852211	+	0.45	0	0	0.32	0
hsa-mir-1226	MI0006313	chr3	+	47891045	47891119	intronic	21	sense	1	hsa-miR-1226-3p	DHX30	47844399	47891686	+	0.89	0	0	1.59	0
hsa-mir-224	MI0000301	chrX	-	151127050	151127130	intronic	6	sense	1181	hsa-miR-224-3p	GABRE	151121596	151143151	-	0	4.76	0	0.48	0.71
hsa-mir-4646	MI0017273	chr6	-	31668806	31668868	intronic	3	sense	183	hsa-miR-4646-3p	ABHD16A	2948369	2964788	-	0.22	0	0	0	0
hsa-mir-6721	MI0022556	chr6	-	32137807	32137893	exonic	6	sense	0	hsa-miR-6721-5p	AGPAT1	3450724	3460629	-	0.45	0	0	1.11	0
hsa-mir-548h-1	MI0006411	chr14	-	64561742	64561843	intronic	61	antisense	1544	hsa-miR-548h-5p	SYNE2	64319683	64693167	+	0	0	0	0	0.36
hsa-mir-3126	MI0014143	chr2	+	69330814	69330887	intronic	10	sense	742	hsa-miR-3126-5p	ANTXR1	69240276	69476459	+	0	0.48	0.39	0	0
hsa-mir-4687	MI0017319	chr11	+	3877292	3877371	exonic	1	sense	0	hsa-miR-4687-3p	STIM1	3876933	4114440	+	0	0.24	0	0.16	0.18
hsa-mir-6718	MI0022553	chr18	+	3885353	3885432	intronic	3	antisense	119684	hsa-miR-6718-5p	DLGAP1	3496030	4455266	-	1.56	0	4.73	1.11	0.18
hsa-mir-4667	MI0017297	chr9	+	35608091	35608156	intronic	7	sense	83	hsa-miR-4667-5p	TESK1	35605281	35610038	+	1.78	0.24	0	1.43	0.36
hsa-mir-3617	MI0016007	chr20	-	44333741	44333819	intronic	2	antisense	508	hsa-miR-3617-5p	WFDC13	44330655	44337456	+	0	0.24	1.18	0.16	0.18
hsa-mir-6795	MI0022640	chr19	-	15290094	15290161	intronic	21	sense	14	none	NOTCH3	15270444	15311792	-	0	0	0	0	0
hsa-mir-4777	MI0017421	chr2	+	232227419	232227504	intronic	23	sense	1825	none	ARMC9	232063294	232238606	+	0	0	0	0	0
hsa-mir-4499	MI0016862	chr13	-	21007917	21007985	intronic	4	sense	5747	none	CRYL1	20977806	21100012	-	0	0	0	0	0
hsa-mir-7843	MI0025510	chr14	+	72983528	72983606	intronic	13	sense	6541	hsa-miR-7843-3p	RGS6	72398817	73033238	+	0	0.24	0	0	0
hsa-mir-1272	MI0006408	chr15	-	65054586	65054714	intronic	1	sense	12718	hsa-miR-1272	RBPMS2	65032095	65067770	-	0	0	0.39	0	0
hsa-mir-4640	MI0017267	chr6	+	30858660	30858749	intronic	5	sense	1453	hsa-miR-4640-3p	DDR1	2144848	2160922	+	0	0	0	0.48	0
hsa-mir-582	MI0003589	chr5	-	58999432	58999529	intronic	1	sense	189466	hsa-miR-582-3p	PDE4D	58264866	59783925	-	2.23	14.27	7.49	91.7	132.62
hsa-mir-4640	MI0017267	chr6	+	30858660	30858749	intronic	5	sense	1453	hsa-miR-4640-3p	DDR1	2233818	2241824	+	0	0	0	0.48	0
hsa-mir-6749	MI0022594	chr11	-	64669859	64669927	intronic	27	sense	61	none	ATG2A	64662004	64684722	-	0	0	0	0	0
hsa-mir-7853	MI0025523	chr6	-	6169537	6169668	intronic	12	sense	5145	none	F13A1	6144311	6320924	-	0	0	0	0	0
hsa-mir-6775	MI0022620	chr16	-	87868198	87868266	intronic	8	sense	1838	none	SLC7A5	87863629	87903100	-	0	0	0	0	0
hsa-mir-7706	MI0025242	chr15	+	85923827	85923893	exonic	1	sense	0	hsa-miR-7706	AKAP13	85923847	86292589	+	3.34	6.19	0	2.06	1.07
hsa-mir-1244-3	MI0015975	chr2	+	232578024	232578108	exonic	5	sense	0	hsa-miR-1244	PTMA	232573235	232578250	+	0.22	0	0.39	0.32	0
hsa-mir-191	MI0000465	chr3	-	49058051	49058142	intronic	1	sense	137	hsa-miR-191-5p	DALRD3	49052435	49058467	-	2115.92	1959.9	967.13	1539.98	1476.99
hsa-mir-561	MI0003567	chr2	+	189162219	189162315	intronic	1	sense	5326	hsa-miR-561-5p	GULP1	189156396	189460652	+	0	0.71	5.52	0.16	4.46
hsa-mir-32	MI0000090	chr9	-	111808509	111808578	intronic	14	sense	3985	hsa-miR-32-5p	TMEM245	111777415	111882225	-	0	7.14	43.35	1.43	49.8
hsa-mir-4646	MI0017273	chr6	-	31668806	31668868	intronic	3	sense	183	hsa-miR-4646-5p	ABHD16A	2985532	3001955	-	0.22	0	0.39	0	0
hsa-mir-6821	MI0022666	chr22	+	50356514	50356587	intronic	5	sense	1	hsa-miR-6821-5p	PIM3	50354143	50357720	+	0.45	0	0	0.16	0
hsa-mir-2276	MI0011282	chr13	+	24736555	24736643	intronic	1	sense	1484	hsa-miR-2276-5p	SPATA13	24734861	24881212	+	1.56	0.48	0	1.59	0
hsa-mir-1288	MI0006432	chr17	+	16185328	16185402	intronic	2	sense	47944	hsa-miR-1288-3p	PIGL	16120509	16229573	+	1.11	0	0	1.9	0.18
hsa-mir-7978	MI0025754	chr4	-	21466323	21466381	intronic	2	sense	298163	hsa-miR-7978	KCNIP4	20730239	21950374	-	0	0	0	0.16	0
hsa-mir-548k	MI0006354	chr11	+	70130061	70130176	intronic	2	sense	11519	hsa-miR-548k	PPFIA1	70116806	70230607	+	0.22	1.19	0	0.79	1.96
hsa-mir-3119-2	MI0014135	chr1	+	170120519	170120603	intronic	1	sense	5117	none	METTL11B	170115188	170136923	+	0	0	0	0	0
hsa-mir-4270	MI0015878	chr3	-	15537746	15537815	intronic	1	sense	2204	none	COLQ	15491640	15563258	-	0	0	0	0	0
hsa-mir-676	MI0016436	chrX	+	69242707	69242773	intronic	2	sense	65725	hsa-miR-676-5p	EDA	68835911	69259321	+	0	0.48	0	0	0
hsa-mir-432	MI0003133	chr14	+	101350820	101350913	exonic	1	antisense	0	hsa-miR-432-5p	RTL1	101346992	101351184	-	1278.95	13.8	89.07	922.84	5.53
hsa-mir-744	MI0005559	chr17	+	11985216	11985313	intronic	3	sense	369	hsa-miR-744-5p	MAP2K4	11924135	12047051	+	1943.49	259.08	126.9	6251.28	199.19
hsa-mir-3655	MI0016055	chr5	+	140027429	140027511	exonic	1	sense	0	none	IK	140027384	140042065	+	0	0	0	0	0
hsa-mir-3915	MI0016420	chrX	-	32601773	32601869	intronic	13	sense	12005	none	DMD	31137345	33357726	-	0	0	0	0	0
hsa-mir-4745	MI0017384	chr19	+	804940	805001	intronic	7	sense	1	hsa-miR-4745-3p	PTBP1	797392	812327	+	0	0	0	0.63	0
hsa-mir-3187	MI0014231	chr19	+	813584	813653	exonic	8	antisense	0	hsa-miR-3187-3p	LPPR3	812488	821952	-	1.34	0	0	0.63	0
hsa-mir-4784	MI0017429	chr2	-	132248733	132248809	intronic	2	sense	640	hsa-miR-4784	MZT2A	132241533	132250064	-	0.45	0	0.79	0.16	0
hsa-mir-4298	MI0015830	chr11	-	1880694	1880766	intronic	1	antisense	6267	none	LSP1	1874200	1913493	+	0	0	0	0	0
hsa-mir-605	MI0003618	chr10	+	53059333	53059415	intronic	2	sense	146243	none	PRKG1	52750911	54058110	+	0	0	0	0	0
hsa-mir-7151	MI0023611	chr10	-	69163109	69163168	intronic	5	sense	118432	hsa-miR-7151-3p	CTNNA3	67679725	69455949	-	0	0.95	0	0	0
hsa-mir-26a-2	MI0000750	chr12	-	58218392	58218475	intronic	5	sense	1654	hsa-miR-26a-2-3p	CTDSP2	58213710	58240747	-	0	0	1.58	0.16	0.54
hsa-mir-6834	MI0022679	chr6	+	33258022	33258102	intronic	3	sense	1	hsa-miR-6834-5p	PFDN6	4538700	4540037	+	0.22	0	0	0.32	0.18
hsa-mir-6877	MI0022724	chr9	+	135927383	135927446	intronic	4	sense	1018	hsa-miR-6877-5p	GTF3C5	135906062	135933890	+	0.67	0.24	0	1.11	0
hsa-mir-6855	MI0022701	chr9	+	132631884	132631950	intronic	13	sense	180	hsa-miR-6855-3p	USP20	132597696	132644107	+	1.78	0	0	0.48	0
hsa-mir-4740	MI0017378	chr17	-	79374516	79374578	intronic	1	antisense	799	none	BAHCC1	79373540	79433358	+	0	0	0	0	0
hsa-mir-7114	MI0022965	chr9	-	140344478	140344538	intronic	12	sense	90	none	NELF	140342023	140353786	-	0	0	0	0	0
hsa-mir-4288	MI0015896	chr8	-	28362633	28362699	intronic	3	antisense	1914	none	FZD3	28351722	28431785	+	0	0	0	0	0
hsa-mir-140	MI0000456	chr16	+	69966984	69967083	intronic	16	sense	1191	hsa-miR-140-5p	WWP2	69796187	69975644	+	64.38	969.96	651.45	260.02	1169.81
hsa-mir-4635	MI0017262	chr5	-	1063011	1063089	intronic	20	sense	870	none	SLC12A7	1050489	1112172	-	0	0	0	0	0
hsa-mir-4497	MI0016859	chr12	+	110271153	110271241	intronic	15	antisense	18521	hsa-miR-4497	TRPV4	110220892	110271212	-	0	0	4.34	0.63	0
hsa-mir-7704	MI0025240	chr2	+	177053571	177053629	exonic	1	sense	0	hsa-miR-7704	HOXD1	177053307	177055635	+	4.68	5.23	3.94	5.55	2.68
hsa-mir-6771	MI0022616	chr16	+	50326527	50326586	intronic	3	sense	719	hsa-miR-6771-5p	ADCY7	50321823	50352043	+	0	0	0	0.16	0
hsa-mir-6513	MI0022225	chr2	-	219144848	219144911	exonic	3	sense	0	hsa-miR-6513-3p	TMBIM1	219138917	219157280	-	0	0.48	0	0.48	0
hsa-mir-4640	MI0017267	chr6	+	30858660	30858749	intronic	5	sense	1453	hsa-miR-4640-5p	DDR1	2144848	2160922	+	0.89	0	0	2.22	0
hsa-mir-4800	MI0017448	chr4	-	2251804	2251883	exonic	6	sense	0	hsa-miR-4800-3p	MXD4	2249160	2263739	-	0	0	0	0.16	0
hsa-mir-6510	MI0022222	chr17	-	39673416	39673469	exonic	2	sense	0	none	KRT15	39669997	39675270	-	0	0	0	0	0
hsa-mir-26b	MI0000084	chr2	+	219267369	219267445	intronic	4	sense	241	hsa-miR-26b-5p	CTDSP1	219263061	219270664	+	323.02	2637.46	2807.6	596.51	2492.23
hsa-mir-564	MI0003570	chr3	+	44903380	44903473	exonic	1	sense	0	none	TMEM42	44903408	44907154	+	0	0	0	0	0
hsa-mir-6871	MI0022718	chr20	+	39797663	39797718	intronic	21	sense	153	hsa-miR-6871-5p	PLCG1	39766161	39804357	+	0.22	0	0	0	0
hsa-mir-7151	MI0023611	chr10	-	69163109	69163168	intronic	5	sense	118432	hsa-miR-7151-5p	CTNNA3	67679725	69455949	-	0.22	5.23	0	0.79	0
hsa-mir-3202-1	MI0014252	chrX	+	153246548	153246628	intronic	1	sense	8237	hsa-miR-3202	TMEM187	153237991	153248646	+	0	0	0.79	0	0.18
hsa-mir-941-2	MI0005764	chr20	+	62550858	62550929	intronic	1	sense	24182	none	DNAJC5	62526455	62567384	+	0	0	0	0	0
hsa-mir-641	MI0003656	chr19	-	40788450	40788548	intronic	1	sense	2540	hsa-miR-641	AKT2	40736224	40791302	-	0.22	0	0	0	0
hsa-mir-1249	MI0006384	chr22	-	45596835	45596900	intronic	7	sense	1971	hsa-miR-1249	KIAA0930	45588123	45636650	-	5.57	0.24	0.39	75.04	1.07
hsa-mir-1225	MI0006311	chr16	-	2140196	2140285	intronic	45	sense	1	hsa-miR-1225-5p	PKD1	2138711	2185899	-	0.22	0	0	0.16	0
hsa-mir-6794	MI0022639	chr19	+	12963074	12963141	intronic	9	sense	13	hsa-miR-6794-5p	MAST1	12949259	12985766	+	2	0	0	1.9	0
hsa-mir-6506	MI0022218	chr16	-	15704887	15704952	exonic	19	sense	0	hsa-miR-6506-5p	KIAA0430	15688226	15737023	-	0.22	0.95	1.58	0.32	0.71
hsa-mir-6890	MI0022737	chr3	-	49137287	49137347	intronic	14	sense	47	hsa-miR-6890-5p	QARS	49133365	49142171	-	0	0	0	0.32	0
hsa-mir-3122	MI0014138	chr1	+	212250955	212251027	intronic	11	sense	5400	none	DTL	212208919	212278187	+	0	0	0	0	0
hsa-mir-1273a	MI0006409	chr8	-	101036210	101036312	intronic	14	sense	14847	none	RGS22	100973276	101118344	-	0	0	0	0	0
hsa-mir-105-1	MI0000111	chrX	-	151560691	151560771	intronic	1	sense	58847	hsa-miR-105-5p	GABRA3	151335634	151619831	-	71.51	0	3.94	66.47	0
hsa-mir-139	MI0000261	chr11	-	72326107	72326174	intronic	1	sense	27124	hsa-miR-139-5p	PDE2A	72287184	72385497	-	18.04	53.77	9.85	307.3	13.92
hsa-mir-4640	MI0017267	chr6	+	30858660	30858749	intronic	5	sense	1453	hsa-miR-4640-3p	DDR1	2199946	2216014	+	0	0	0	0.48	0
hsa-mir-4773-1	MI0017415	chr2	+	152224848	152224925	intronic	3	sense	2117	hsa-miR-4773	TNFAIP6	152214106	152236562	+	0	0	1.18	0.48	0
hsa-mir-1290	MI0006352	chr1	-	19223565	19223642	intronic	1	sense	5314	hsa-miR-1290	ALDH4A1	19197924	19229293	-	0	0	0.39	0.48	0
hsa-let-7f-2	MI0000068	chrX	-	53584153	53584235	intronic	60	sense	108	hsa-let-7f-5p	HUWE1	53559057	53713697	-	23782.1	181499	83312.4	48047.8	108902
hsa-mir-4281	MI0015885	chr5	-	176056440	176056501	intronic	2	sense	34	none	SNCB	176047210	176057557	-	0	0	0	0	0
hsa-mir-6895	MI0022742	chrX	-	53224593	53224670	intronic	18	sense	428	hsa-miR-6895-5p	KDM5C	53220503	53254604	-	0	0	0	0.16	0
hsa-mir-4781	MI0017426	chr1	+	54519752	54519827	intronic	1	sense	321	hsa-miR-4781-3p	TCEANC2	54519274	54565416	+	1.56	0.48	0	0.48	0
hsa-mir-1273f	MI0018002	chr1	+	53394346	53394444	intronic	1	sense	1209	none	SCP2	53392901	53517289	+	0	0	0	0	0
